city,longitude,latitude,datetime,value,,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
武汉,114.3115816,30.59846674,2020/1/23,495,,495,31,23,495,31,23
孝感,113.9225101,30.93068923,2020/1/23,22,,22,0,0,22,0,0
黄冈,114.8784905,30.45935886,2020/1/23,12,,12,0,0,12,0,0
荆州,112.2455226,30.34084211,2020/1/23,8,,8,0,0,8,0,0
荆门,112.206393,31.04173258,2020/1/23,8,,8,0,0,8,0,0
仙桃,113.4496094,30.33358775,2020/1/23,2,,2,0,0,2,0,0
宜昌,111.2925492,30.69744648,2020/1/23,1,,1,0,1,1,0,1
十堰,110.8045296,32.63506186,2020/1/23,1,,1,0,0,1,0,0
佛山,113.1285122,23.02775875,2020/1/23,7,,7,0,0,7,0,0
广州,113.2714313,23.13533631,2020/1/23,7,,7,0,0,7,0,0
惠州,114.423558,23.11635885,2020/1/23,5,,5,0,0,5,0,0
韶关,113.6035273,24.81588128,2020/1/23,3,,3,0,0,3,0,0
深圳,114.0645518,22.54845664,2020/1/23,15,,15,2,0,15,2,0
湛江,110.3655544,21.27672344,2020/1/23,2,,2,0,0,2,0,0
珠海,113.5825548,22.27656465,2020/1/23,8,,8,0,0,8,0,0
中山,113.3994224,22.52231467,2020/1/23,2,,2,0,0,2,0,0
阳江,111.9884893,21.86433973,2020/1/23,3,,3,0,0,3,0,0
肇庆,112.4714889,23.05288877,2020/1/23,1,,1,0,0,1,0,0
清远,113.0624683,23.68823029,2020/1/23,1,,1,0,0,1,0,0
牡丹江,129.6395398,44.55624571,2020/1/23,1,,1,0,0,1,0,0
哈尔滨,126.5416151,45.80882583,2020/1/23,1,,1,0,0,1,0,0
大庆,125.1086576,46.59363318,2020/1/23,1,,1,0,0,1,0,0
绥化,126.9753569,46.66003218,2020/1/23,1,,1,0,1,1,0,1
昌平,116.2376179,40.22641337,2020/1/23,3,,3,0,0,3,0,0
大兴,116.3486252,39.73255524,2020/1/23,2,,2,1,0,2,1,0
丰台,116.2924019,39.8649372,2020/1/23,2,,2,0,0,2,0,0
海淀,116.3054341,39.96548984,2020/1/23,4,,4,0,0,4,0,0
通州,121.0814255,32.07035574,2020/1/23,2,,2,0,0,2,0,0
外地来京人员,117.0233851,25.99602656,2020/1/23,10,,10,0,0,10,0,0
西城,116.3725136,39.91812361,2020/1/23,4,,4,0,0,4,0,0
朝阳,120.4574995,41.57982086,2020/1/23,5,,5,0,0,5,0,0
石景山,116.2296127,39.91135381,2020/1/23,1,,1,0,0,1,0,0
顺义,116.6614243,40.13635076,2020/1/23,1,,1,0,0,1,0,0
咸阳,108.7154225,34.33547629,2020/1/23,1,,1,0,0,1,0,0
西安,108.9464656,34.34726882,2020/1/23,2,,2,0,0,2,0,0
安康,109.0356011,32.69051277,2020/1/23,1,,1,0,0,1,0,0
延安,109.4965819,36.59111104,2020/1/23,1,,1,0,0,1,0,0
成都,104.0815335,30.65582188,2020/1/23,7,,7,0,0,7,0,0
广安,106.6395527,30.46174611,2020/1/23,2,,2,0,0,2,0,0
绵阳,104.6855619,31.47366305,2020/1/23,2,,2,0,0,2,0,0
达州,107.4745939,31.21430772,2020/1/23,1,,1,0,0,1,0,0
遂宁,105.5994215,30.53909767,2020/1/23,1,,1,0,0,1,0,0
德阳,104.4044194,31.133115,2020/1/23,1,,1,0,0,1,0,0
雅安,103.0495426,30.01679255,2020/1/23,1,,1,0,0,1,0,0
大连,121.6216315,38.91895367,2020/1/23,1,,1,0,0,1,0,0
沈阳,123.4710966,41.68383007,2020/1/23,2,,2,0,0,2,0,0
朝阳,120.4574995,41.57982086,2020/1/23,1,,1,0,0,1,0,0
贵阳,106.6365768,26.65332482,2020/1/23,1,,1,0,0,1,0,0
铜仁,109.1964389,27.73778646,2020/1/23,1,,1,0,0,1,0,0
黔南州,107.5284027,26.2606162,2020/1/23,1,,1,0,0,1,0,0
北海,109.1265332,21.4868365,2020/1/23,6,,6,0,0,6,0,0
柳州,109.4344219,24.33196139,2020/1/23,2,,2,0,0,2,0,0
梧州,111.2855168,23.48274528,2020/1/23,1,,1,0,0,1,0,0
桂林,110.2035454,25.24288572,2020/1/23,2,,2,0,0,2,0,0
百色,106.6245893,23.90818593,2020/1/23,1,,1,0,0,1,0,0
河池,108.0914999,24.69891173,2020/1/23,1,,1,0,0,1,0,0
杭州,120.2155118,30.25308298,2020/1/23,6,,6,0,0,6,0,0
宁波,121.6285725,29.86603305,2020/1/23,5,,5,0,0,5,0,0
